match_id,match_venue,match_innings,batting_team,bowling_team,total_score,run_rate
392226.0,OUTsurance Oval,1.0,Delhi Daredevils,Kings XI Punjab,37.0,6.166666666666667
392226.0,OUTsurance Oval,2.0,Kings XI Punjab,Delhi Daredevils,37.0,6.166666666666667
392227.0,St George's Park,1.0,Mumbai Indians,Chennai Super Kings,49.0,8.166666666666666
392227.0,St George's Park,2.0,Chennai Super Kings,Mumbai Indians,35.0,5.833333333333333
392228.0,New Wanderers Stadium,1.0,Kolkata Knight Riders,Deccan Chargers,31.0,5.166666666666667
392228.0,New Wanderers Stadium,2.0,Deccan Chargers,Kolkata Knight Riders,50.0,8.333333333333334
392230.0,OUTsurance Oval,1.0,Delhi Daredevils,Rajasthan Royals,35.0,5.833333333333333
392230.0,OUTsurance Oval,2.0,Rajasthan Royals,Delhi Daredevils,24.0,4.0
392229.0,New Wanderers Stadium,1.0,Kings XI Punjab,Deccan Chargers,39.0,6.5
392229.0,New Wanderers Stadium,2.0,Deccan Chargers,Kings XI Punjab,46.0,7.666666666666667
392231.0,SuperSport Park,1.0,Chennai Super Kings,Kolkata Knight Riders,54.0,9.0
392231.0,SuperSport Park,2.0,Kolkata Knight Riders,Chennai Super Kings,56.0,9.333333333333334
392232.0,New Wanderers Stadium,1.0,Delhi Daredevils,Royal Challengers Bangalore,37.0,6.166666666666667
392232.0,New Wanderers Stadium,2.0,Royal Challengers Bangalore,Delhi Daredevils,27.0,4.5
392233.0,Kingsmead,1.0,Rajasthan Royals,Kolkata Knight Riders,46.0,7.666666666666667
392233.0,Kingsmead,2.0,Kolkata Knight Riders,Rajasthan Royals,29.0,4.833333333333333
392234.0,Kingsmead,1.0,Chennai Super Kings,Kings XI Punjab,50.0,8.333333333333334
392234.0,Kingsmead,2.0,Kings XI Punjab,Chennai Super Kings,29.0,4.833333333333333
392236.0,SuperSport Park,1.0,Royal Challengers Bangalore,Deccan Chargers,33.0,5.5
392236.0,SuperSport Park,2.0,Deccan Chargers,Royal Challengers Bangalore,64.0,10.666666666666666
392235.0,SuperSport Park,1.0,Mumbai Indians,Delhi Daredevils,30.0,5.0
392235.0,SuperSport Park,2.0,Delhi Daredevils,Mumbai Indians,60.0,10.0
392237.0,SuperSport Park,1.0,Delhi Daredevils,Deccan Chargers,49.0,8.166666666666666
392237.0,SuperSport Park,2.0,Deccan Chargers,Delhi Daredevils,83.0,13.833333333333334
392238.0,New Wanderers Stadium,1.0,Chennai Super Kings,Royal Challengers Bangalore,52.0,8.666666666666666
392238.0,New Wanderers Stadium,2.0,Royal Challengers Bangalore,Chennai Super Kings,59.0,9.833333333333334
392239.0,New Wanderers Stadium,1.0,Deccan Chargers,Royal Challengers Bangalore,31.0,5.166666666666667
392239.0,New Wanderers Stadium,2.0,Royal Challengers Bangalore,Deccan Chargers,36.0,6.0
419106.0,Dr DY Patil Sports Academy,1.0,Kolkata Knight Riders,Deccan Chargers,38.0,6.333333333333333
419106.0,Dr DY Patil Sports Academy,2.0,Deccan Chargers,Kolkata Knight Riders,62.0,10.333333333333334
419108.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Delhi Daredevils,44.0,7.333333333333333
419108.0,"Punjab Cricket Association Stadium, Mohali",2.0,Delhi Daredevils,Kings XI Punjab,39.0,6.5
419107.0,Brabourne Stadium,1.0,Mumbai Indians,Rajasthan Royals,69.0,11.5
419107.0,Brabourne Stadium,2.0,Rajasthan Royals,Mumbai Indians,39.0,6.5
419110.0,"MA Chidambaram Stadium, Chepauk",1.0,Deccan Chargers,Chennai Super Kings,57.0,9.5
419110.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Deccan Chargers,34.0,5.666666666666667
419109.0,Eden Gardens,1.0,Royal Challengers Bangalore,Kolkata Knight Riders,24.0,4.0
419109.0,Eden Gardens,2.0,Kolkata Knight Riders,Royal Challengers Bangalore,61.0,10.166666666666666
419111.0,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,Delhi Daredevils,47.0,7.833333333333333
419111.0,"Sardar Patel Stadium, Motera",2.0,Delhi Daredevils,Rajasthan Royals,60.0,10.0
419112.0,M Chinnaswamy Stadium,1.0,Kings XI Punjab,Royal Challengers Bangalore,50.0,8.333333333333334
419112.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Kings XI Punjab,61.0,10.166666666666666
419113.0,Eden Gardens,1.0,Chennai Super Kings,Kolkata Knight Riders,31.0,5.166666666666667
419113.0,Eden Gardens,2.0,Kolkata Knight Riders,Chennai Super Kings,45.0,7.5
419114.0,Feroz Shah Kotla,1.0,Mumbai Indians,Delhi Daredevils,67.0,11.166666666666666
419114.0,Feroz Shah Kotla,2.0,Delhi Daredevils,Mumbai Indians,56.0,9.333333333333334
419115.0,M Chinnaswamy Stadium,1.0,Rajasthan Royals,Royal Challengers Bangalore,31.0,5.166666666666667
419115.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Rajasthan Royals,59.0,9.833333333333334
419116.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Chennai Super Kings,52.0,8.666666666666666
419116.0,Feroz Shah Kotla,2.0,Chennai Super Kings,Delhi Daredevils,56.0,9.333333333333334
419117.0,Barabati Stadium,1.0,Deccan Chargers,Kings XI Punjab,56.0,9.333333333333334
419117.0,Barabati Stadium,2.0,Kings XI Punjab,Deccan Chargers,27.0,4.5
419118.0,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,Kolkata Knight Riders,56.0,9.333333333333334
419118.0,"Sardar Patel Stadium, Motera",2.0,Kolkata Knight Riders,Rajasthan Royals,38.0,6.333333333333333
419119.0,Brabourne Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,45.0,7.5
419119.0,Brabourne Stadium,2.0,Royal Challengers Bangalore,Mumbai Indians,55.0,9.166666666666666
